Name,Gender,Aadhar number,age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,smoking,Pulse Rate,chol,Total_Bilirubin,Direct_Bilirubin,Alkaline_Phosphotase,Alamine_Aminotransferase,Aspartate_Aminotransferase,Total_Protiens,Albumin,Bp,Hemo,Wbcc,Rbcc,Sod,Pot
aakanksha,f,546915140630    ,75,0,582,0,20,1,265000,1.9,130,0,13.8,233,0.7,0.1,187,16,18,6.8,3.3,80,15.4,7800,5.2,137.53,4.63
aakash,m,533976954755    ,55,0,7861,0,38,0,263358.03,1.1,136,0,13.6,250,10.9,5.5,699,64,100,7.5,3.2,50,11.3,6000,4.71,137.53,4.63
aanamika misra,f,470665104408    ,65,0,146,0,20,0,162000,1.3,129,1,14,204,7.3,4.1,490,60,68,7,3.3,80,9.6,7500,4.71,137.53,4.63
aarti devi,f,903585897907    ,50,1,111,0,20,0,210000,1.9,137,0,12.8,236,1,0.4,182,14,20,6.8,3.4,70,11.2,6700,3.9,111,2.5
aashiya,f,693382755795    ,65,1,160,1,20,0,327000,2.7,116,0,15,354,3.9,2,195,27,59,7.3,2.4,80,11.6,7300,4.6,137.53,4.63
aasmin,f,695587623984    ,90,1,47,0,40,1,204000,2.1,132,1,13.6,192,1.8,0.7,208,19,14,7.6,4.4,90,12.2,7800,4.4,142,3.2
abhi,m,578076122533    ,75,1,246,0,15,0,127000,1.2,137,0,12.8,294,0.9,0.2,154,16,12,7,3.5,70,12.4,8406,4.71,104,4
abhishekh,m,346429327395    ,60,1,315,1,60,0,454000,1.1,131,1,10,263,0.9,0.3,202,14,11,6.7,3.6,76,12.4,6900,5,137.53,4.63
adnan,m,786358540323    ,65,0,157,0,65,0,263358.03,1.5,138,0,15,199,0.9,0.3,202,22,19,7.4,4.1,100,10.8,9600,4,137.53,4.63
ajay,m,369352687627    ,80,1,123,0,35,1,388000,9.4,133,1,13,168,0.7,0.2,290,53,58,6.8,3.4,90,9.5,12100,3.7,114,3.7
akash gupta,m,588328260859    ,75,1,81,0,38,1,368000,4,131,1,13,239,0.6,0.1,210,51,59,5.9,2.7,60,9.4,8406,4.71,137.53,4.63
akhilesh,m,530118574135    ,62,0,231,0,25,1,253000,0.9,140,1,10,275,2.7,1.3,260,31,56,7.4,3,70,10.8,4500,3.8,131,4.2
aman,m,439431223830    ,45,1,981,0,30,0,136000,1.1,137,0,14,266,0.9,0.3,310,61,58,7,3.4,70,9.7,12200,3.4,138,5.8
aman,m,469411225260    ,50,1,168,0,38,1,276000,1.1,137,0,12,211,1.1,0.4,214,22,30,8.1,4.1,70,9.8,8406,4.71,135,3.4
aman soni @ badal,m,307879278129    ,49,1,80,0,30,1,427000,1,138,0,12,283,0.7,0.2,145,53,41,5.8,2.7,80,5.6,11000,2.6,130,6.4
amit,m,621102995593    ,82,1,379,0,50,0,47000,1.3,136,0,10,219,0.6,0.1,183,91,53,5.5,2.3,80,7.6,3800,2.8,141,4.9
amit,m,742942241568    ,87,1,149,0,38,0,262000,0.9,140,0,14,340,1.8,0.8,342,168,441,7.6,4.4,70,12.6,8406,4.71,138,4.1
amit,m,474709557213    ,45,0,582,0,14,0,166000,0.8,127,0,14,226,1.6,0.5,165,15,23,7.3,3.5,80,12.1,8406,4.71,139,3.7
anita,f,540666445843    ,70,1,125,0,25,1,237000,1,140,0,13,247,0.9,0.3,293,232,245,6.8,3.1,100,12.7,11400,4.3,135,4.3
anita,f,327661234957    ,48,1,582,1,55,0,87000,1.9,121,0,10,239,0.9,0.3,293,232,245,6.8,3.1,60,10.3,5300,3.7,137.53,4.63
anjali,f,331076471566    ,65,1,52,0,25,1,276000,1.3,137,0,10,234,2.2,1,610,17,28,7.3,2.6,80,7.7,9200,3.2,135,5.2
anjali @ babli,f,289549647848    ,65,1,128,1,30,1,297000,1.6,136,0,10,233,2.9,1.3,482,22,34,7,2.4,90,10.9,6200,3.6,4.5,4.63
anjali juneja,f,827215384650    ,68,1,220,0,35,1,289000,0.9,140,1,10,226,6.8,3,542,116,66,6.4,3.1,80,9.8,6900,3.4,136,3.8
ankit,m,254703309229    ,53,0,63,1,60,0,368000,0.8,135,0,10,243,1.9,1,231,16,55,4.3,1.6,70,12.53,8406,4.71,137.53,4.63
anshu,f,303518578439    ,75,0,582,1,30,1,263358.03,1.83,134,0,10,199,0.9,0.2,194,52,45,6,3.9,100,11.1,8300,4.6,129,4
anshu d/o,f,372988227001    ,80,0,148,1,38,0,149000,1.9,144,1,10,302,4.1,2,289,875,731,5,2.7,60,9.9,8400,3.7,141,5.2
any bobby,f,378462809092    ,95,1,112,0,40,1,196000,1,138,0,15,212,4.1,2,289,875,731,5,2.7,80,11.6,10300,4,140,3.4
arindra,m,841821647858    ,70,0,122,1,45,1,284000,1.3,136,1,13,175,6.2,3,240,1680,850,7.2,4,70,12.5,9600,4.1,130,4
arjun,m,766001248882    ,58,1,60,0,38,0,153000,5.8,134,0,13,417,1.1,0.5,128,20,30,3.9,1.9,70,12.53,8406,4.71,137.53,4.63
arvind kumar yadav,m,983751441049    ,82,0,70,1,30,0,200000,1.2,132,1,10,197,0.7,0.2,188,13,21,6,3.2,70,12.9,8406,4.71,137.53,4.63
aslam allam,m,569898531417    ,94,0,582,1,38,1,263358.03,1.83,134,0,14,198,4,1.9,190,45,111,5.2,1.5,70,12.53,8406,4.71,132,4.9
azaruddin,m,363516018076    ,85,0,23,0,45,0,360000,3,132,0,12,177,0.9,0.2,156,35,44,4.9,2.9,90,10.1,7800,4,141,4.6
babita,f,927235476198    ,50,1,249,1,35,1,319000,1,128,0,12,219,1,0.3,187,19,23,5.2,2.9,90,11.3,9600,4,133,4.9
badshya khan,m,913887331107    ,50,1,159,1,30,0,302000,1.2,138,0,10,273,2.6,1.2,410,59,57,5.6,3,100,10.1,8406,4.71,137.53,4.63
barjraj,m,763816330089    ,65,0,94,1,50,1,188000,1,140,0,14,213,2.6,1.2,410,59,57,5.6,3,70,12.53,8406,4.71,137.53,4.63
basnti,f,670809152237    ,69,0,582,1,35,0,228000,3.5,134,0,14,177,1.3,0.4,482,102,80,6.9,3.3,90,12,9800,4.9,137.53,4.63
bhagwati prasad,m,459944958213    ,90,1,60,1,50,0,226000,1,134,0,13,304,0.7,0.2,145,18,36,7.2,3.9,70,10.3,8406,4.71,133,3.9
birender mandal,m,815916919920    ,82,1,855,1,50,1,321000,1,145,0,10,232,14.2,7.8,374,38,77,4.3,2,80,9.7,6900,2.5,141,4.7
buity,f,421201497668    ,60,0,2656,1,30,0,305000,2.3,137,0,10,269,1.4,0.6,263,38,66,5.8,2.2,80,12.5,8406,4.71,132,5.9
chahat,f,713075271226    ,60,0,235,1,38,0,329000,3,142,0,10,360,2.7,1.3,275,123,73,6.2,3.3,80,13,9800,4.2,136,4.2
champa karketta,f,283466431617    ,70,0,582,0,20,1,263358.03,1.83,134,1,10,308,2.4,1.1,168,33,50,5.1,2.6,90,11.1,9100,4.1,137.53,4.63
chanderpal,m,908388267535    ,50,0,124,1,30,1,153000,1.2,136,1,10,245,0.6,0.1,160,42,110,4.9,2.6,70,12.53,8406,4.71,137.53,4.63
chandesh,m,830183905995    ,70,0,571,1,45,1,185000,1.2,139,1,10,208,6.8,3.2,630,25,47,6.1,2.3,100,9.7,9200,4.5,139,4.2
charu,f,815096467668    ,72,0,127,1,50,1,218000,1,134,0,10,264,2.6,1.2,415,407,576,6.4,3.2,80,7.9,7900,3.1,134,3.4
chotelal,m,211856752155    ,60,1,588,1,60,0,194000,1.1,142,0,15,321,1,0.3,208,17,15,7,3.6,80,9.7,8406,4.71,134,4.8
deepak,m,560535593424    ,50,0,582,1,38,0,310000,1.9,135,1,13,325,1.8,0.6,275,48,178,6.5,3.2,80,9.3,8406,4.71,130,4.9
deepak,m,760032059115    ,51,0,1380,0,25,1,271000,0.9,130,0,13,235,3.9,1.8,150,36,27,6.8,3.9,70,12.4,6400,4.7,142,4.2
deeya kumari,f,421964175946    ,60,0,582,1,38,1,451000,0.6,138,1,10,257,1.1,0.3,230,1630,960,4.9,2.8,80,15,8600,4.71,137.53,4.63
devinder chadda,m,990950526956    ,80,1,553,0,20,1,140000,4.4,133,0,14,216,0.6,0.1,176,39,28,6,3,70,10,18900,3.5,125,4
dhanwanti  devi,f,497805203988    ,57,1,129,0,30,0,395000,1,140,0,12,234,18.4,8.8,206,64,178,6.2,1.8,70,9.7,21600,3.5,137.53,4.63
dharam singh,m,216363587757    ,68,1,577,0,25,1,166000,1,138,0,12,256,0.7,0.2,170,21,14,5.7,2.5,60,8.6,11000,3.8,142,4.3
dimpal @doli,f,640352042987    ,53,1,91,0,20,1,418000,1.4,139,0,10,302,0.6,0.1,161,15,19,6.6,3.4,100,10.3,8406,4.71,136,4.4
dinesh,m,482091410297    ,60,0,3964,1,62,0,263358.03,6.8,146,0,14,231,3.1,1.6,253,80,406,6.8,3.9,90,10.9,4300,3.7,137.53,4.63
dipendra kumar,m,315779013794    ,70,1,69,1,50,1,351000,1,134,0,14,141,1.1,0.3,198,86,150,6.3,3.5,80,13.6,8500,4.7,137.53,4.63
divya,f,522342881720    ,60,1,260,1,38,0,255000,2.2,132,1,13,252,8.9,4.5,272,31,61,5.8,2,80,13,9800,4.2,136,4.2
doly,f,752016825438    ,95,1,371,0,30,0,461000,2,132,0,10,201,8.9,4.5,272,31,61,5.8,2,80,9.5,8406,4.71,137.53,4.63
doodhnath pandit,m,830620014038    ,70,1,75,0,35,0,223000,2.7,138,1,10,222,0.8,0.2,198,26,23,8,4,70,10.2,11300,3.4,131,4.4
